voltage,name,idx,sh_terminals,trafos
380.0,virtual terminal,ElmTerm_virtual_0060,POINT (8.449572099999999 49.2481059),[]
220.0,virtual terminal,ElmTerm_virtual_0006,POINT (8.512436299999999 49.2916344),[]
380.0,virtual terminal,ElmTerm_virtual_0061,POINT (7.8722116 47.6032427),[]
220.0,virtual terminal,ElmTerm_virtual_0062,POINT (9.2098529 49.0291623),[]
220.0,virtual terminal,ElmTerm_virtual_0063,POINT (9.209175 49.0306374),[]
220.0,virtual terminal,ElmTerm_virtual_0011,POINT (8.538486000000001 49.4471053),[]
380.0,virtual terminal,ElmTerm_virtual_0066,POINT (7.8749742 47.5998391),[]
380.0,virtual terminal,ElmTerm_virtual_0067,POINT (7.8720592 47.6008845),[]
380.0,virtual terminal,ElmTerm_virtual_0068,POINT (7.8723114 47.6017183),[]
380.0,virtual terminal,ElmTerm_virtual_0070,POINT (7.8750534 47.6002662),[]
380.0,virtual terminal,ElmTerm_virtual_0071,POINT (7.939881 47.5976487),[]
380.0,virtual terminal,ElmTerm_virtual_0072,POINT (7.9433458 47.5952826),['ElmTr2_0126']
380.0,virtual terminal,ElmTerm_virtual_0073,POINT (9.096256 49.2923273),[]
380.0,virtual terminal,ElmTerm_virtual_0025,POINT (9.1950729 48.9215584),[]
380.0,virtual terminal,ElmTerm_virtual_0074,POINT (9.803166600000001 47.6525789),[]
380.0,virtual terminal,ElmTerm_virtual_0076,POINT (8.6289005 49.3334069),[]
220.0,virtual terminal,ElmTerm_virtual_0077,POINT (9.2019252 49.0456325),[]
220.0,virtual terminal,ElmTerm_virtual_0020,POINT (9.2096991 49.0309358),[]
220.0,virtual terminal,ElmTerm_virtual_0055,POINT (8.6894493 49.3360234),[]
220.0,virtual terminal,ElmTerm_virtual_0064,POINT (8.7530299 49.3096261),[]
220.0,virtual terminal,ElmTerm_virtual_0058,POINT (8.5704967 49.498647),[]
220.0,virtual terminal,ElmTerm_virtual_0079,POINT (8.423152200000001 49.6398212),[]
380.0,virtual terminal,ElmTerm_virtual_0081,POINT (11.1091674 49.9834574),[]
380.0,virtual terminal,ElmTerm_virtual_0082,POINT (10.8324666 49.927571),[]
380.0,virtual terminal,ElmTerm_virtual_0084,POINT (10.9354552 49.5636824),[]
380.0,virtual terminal,ElmTerm_virtual_0080,POINT (11.8224261 48.2292076),[]
380.0,virtual terminal,ElmTerm_virtual_0085,POINT (11.8270469 48.2272296),[]
380.0,virtual terminal,ElmTerm_virtual_0087,POINT (9.094494299999999 50.1187689),[]
380.0,virtual terminal,ElmTerm_virtual_0088,POINT (11.0316812 48.3952092),[]
220.0,virtual terminal,ElmTerm_virtual_0086,POINT (11.2869439 47.4928625),[]
220.0,virtual terminal,ElmTerm_virtual_0089,POINT (13.0564749 48.2715098),[]
380.0,virtual terminal,ElmTerm_virtual_0090,POINT (10.8648717 48.540686),[]
380.0,virtual terminal,ElmTerm_virtual_0091,POINT (11.0317064 48.3970927),[]
380.0,virtual terminal,ElmTerm_virtual_0092,POINT (12.8535354 48.7624378),[]
380.0,virtual terminal,ElmTerm_virtual_0094,POINT (10.41028 48.5111658),[]
220.0,virtual terminal,ElmTerm_virtual_0095,POINT (12.8651391 48.3295815),[]
220.0,virtual terminal,ElmTerm_virtual_0096,POINT (12.9981969 48.295336),[]
220.0,virtual terminal,ElmTerm_virtual_0097,POINT (13.0525449 48.2698933),[]
220.0,virtual terminal,ElmTerm_virtual_0098,POINT (9.5679286 49.8206828),[]
380.0,virtual terminal,ElmTerm_virtual_0099,POINT (10.6606693 49.9752226),[]
220.0,virtual terminal,ElmTerm_virtual_0100,POINT (10.2008656 47.9562416),[]
220.0,virtual terminal,ElmTerm_virtual_0101,POINT (10.196155 47.9671738),[]
380.0,virtual terminal,ElmTerm_virtual_0093,POINT (11.0327624 48.3937138),[]
380.0,virtual terminal,ElmTerm_virtual_0106,POINT (8.979307 50.061535),[]
220.0,virtual terminal,ElmTerm_virtual_0107,POINT (10.2093931 47.9380868),[]
