Time from [CET/CEST],Time to [CET/CEST],Power [MW]
2019-01-04 03:00:00,2019-01-04 03:15:00,6382.400
2019-01-04 03:15:00,2019-01-04 03:30:00,6372.800
2019-01-04 03:30:00,2019-01-04 03:45:00,6353.600
2019-01-04 03:45:00,2019-01-04 04:00:00,6353.200
2019-01-04 04:00:00,2019-01-04 04:15:00,6435.200
2019-01-04 04:15:00,2019-01-04 04:30:00,6485.200
2019-01-04 04:30:00,2019-01-04 04:45:00,6509.200
2019-01-04 04:45:00,2019-01-04 05:00:00,6566.400
2019-01-04 05:00:00,2019-01-04 05:15:00,6796.400
2019-01-04 05:15:00,2019-01-04 05:30:00,6913.600
2019-01-04 05:30:00,2019-01-04 05:45:00,6996.400
2019-01-04 05:45:00,2019-01-04 06:00:00,7221.600
2019-01-04 06:00:00,2019-01-04 06:15:00,7414.800
2019-01-04 06:15:00,2019-01-04 06:30:00,7666.000
2019-01-04 06:30:00,2019-01-04 06:45:00,7843.200
2019-01-04 06:45:00,2019-01-04 07:00:00,8036.400
2019-01-04 07:00:00,2019-01-04 07:15:00,8416.000
2019-01-04 07:15:00,2019-01-04 07:30:00,8550.000
2019-01-04 07:30:00,2019-01-04 07:45:00,8667.600
2019-01-04 07:45:00,2019-01-04 08:00:00,8763.200
2019-01-04 08:00:00,2019-01-04 08:15:00,8861.200
2019-01-04 08:15:00,2019-01-04 08:30:00,8933.600
2019-01-04 08:30:00,2019-01-04 08:45:00,9020.000
2019-01-04 08:45:00,2019-01-04 09:00:00,9126.800
2019-01-04 09:00:00,2019-01-04 09:15:00,9199.600
2019-01-04 09:15:00,2019-01-04 09:30:00,9246.800
2019-01-04 09:30:00,2019-01-04 09:45:00,9319.200
2019-01-04 09:45:00,2019-01-04 10:00:00,9280.800
2019-01-04 10:00:00,2019-01-04 10:15:00,9280.800
2019-01-04 10:15:00,2019-01-04 10:30:00,9330.000
2019-01-04 10:30:00,2019-01-04 10:45:00,9390.800
2019-01-04 10:45:00,2019-01-04 11:00:00,9404.400
2019-01-04 11:00:00,2019-01-04 11:15:00,9368.400
2019-01-04 11:15:00,2019-01-04 11:30:00,9403.200
2019-01-04 11:30:00,2019-01-04 11:45:00,9410.800
2019-01-04 11:45:00,2019-01-04 12:00:00,9352.800
2019-01-04 12:00:00,2019-01-04 12:15:00,9388.400
2019-01-04 12:15:00,2019-01-04 12:30:00,9312.400
2019-01-04 12:30:00,2019-01-04 12:45:00,9192.800
2019-01-04 12:45:00,2019-01-04 13:00:00,9112.400
2019-01-04 13:00:00,2019-01-04 13:15:00,9153.200
2019-01-04 13:15:00,2019-01-04 13:30:00,9091.600
2019-01-04 13:30:00,2019-01-04 13:45:00,9038.400
2019-01-04 13:45:00,2019-01-04 14:00:00,9039.600
2019-01-04 14:00:00,2019-01-04 14:15:00,9058.400
2019-01-04 14:15:00,2019-01-04 14:30:00,9034.800
2019-01-04 14:30:00,2019-01-04 14:45:00,9004.000
2019-01-04 14:45:00,2019-01-04 15:00:00,8948.800
2019-01-04 15:00:00,2019-01-04 15:15:00,8984.400
2019-01-04 15:15:00,2019-01-04 15:30:00,8978.800
2019-01-04 15:30:00,2019-01-04 15:45:00,8965.600
2019-01-04 15:45:00,2019-01-04 16:00:00,8950.400
2019-01-04 16:00:00,2019-01-04 16:15:00,9087.600
2019-01-04 16:15:00,2019-01-04 16:30:00,9150.400
2019-01-04 16:30:00,2019-01-04 16:45:00,9272.000
2019-01-04 16:45:00,2019-01-04 17:00:00,9398.400
2019-01-04 17:00:00,2019-01-04 17:15:00,9512.000
2019-01-04 17:15:00,2019-01-04 17:30:00,9558.800
2019-01-04 17:30:00,2019-01-04 17:45:00,9602.800
2019-01-04 17:45:00,2019-01-04 18:00:00,9558.800
2019-01-04 18:00:00,2019-01-04 18:15:00,9475.600
2019-01-04 18:15:00,2019-01-04 18:30:00,9416.400
2019-01-04 18:30:00,2019-01-04 18:45:00,9356.800
2019-01-04 18:45:00,2019-01-04 19:00:00,9257.600
2019-01-04 19:00:00,2019-01-04 19:15:00,8975.600
2019-01-04 19:15:00,2019-01-04 19:30:00,8880.400
2019-01-04 19:30:00,2019-01-04 19:45:00,8755.600
2019-01-04 19:45:00,2019-01-04 20:00:00,8620.400
2019-01-04 20:00:00,2019-01-04 20:15:00,8534.000
2019-01-04 20:15:00,2019-01-04 20:30:00,8383.600
2019-01-04 20:30:00,2019-01-04 20:45:00,8243.600
2019-01-04 20:45:00,2019-01-04 21:00:00,8156.800
2019-01-04 21:00:00,2019-01-04 21:15:00,7992.400
2019-01-04 21:15:00,2019-01-04 21:30:00,7806.400
2019-01-04 21:30:00,2019-01-04 21:45:00,7690.000
2019-01-04 21:45:00,2019-01-04 22:00:00,7633.200
2019-01-04 22:00:00,2019-01-04 22:15:00,7811.200
2019-01-04 22:15:00,2019-01-04 22:30:00,7750.800
2019-01-04 22:30:00,2019-01-04 22:45:00,7651.600
2019-01-04 22:45:00,2019-01-04 23:00:00,7594.800
2019-01-04 23:00:00,2019-01-04 23:15:00,7391.200
2019-01-04 23:15:00,2019-01-04 23:30:00,7214.800
2019-01-04 23:30:00,2019-01-04 23:45:00,7148.000
2019-01-04 23:45:00,2019-01-05 00:00:00,7037.600
2019-01-05 00:00:00,2019-01-05 00:15:00,7103.200
2019-01-05 00:15:00,2019-01-05 00:30:00,6915.200
2019-01-05 00:30:00,2019-01-05 00:45:00,6850.000
2019-01-05 00:45:00,2019-01-05 01:00:00,6771.200
2019-01-05 01:00:00,2019-01-05 01:15:00,6709.200
2019-01-05 01:15:00,2019-01-05 01:30:00,6658.800
2019-01-05 01:30:00,2019-01-05 01:45:00,6556.400
2019-01-05 01:45:00,2019-01-05 02:00:00,6473.200
2019-01-05 02:00:00,2019-01-05 02:15:00,6477.600
2019-01-05 02:15:00,2019-01-05 02:30:00,6412.400
2019-01-05 02:30:00,2019-01-05 02:45:00,6347.200
2019-01-05 02:45:00,2019-01-05 03:00:00,6268.800
2019-01-05 03:00:00,2019-01-05 03:15:00,6256.800
2019-01-05 03:15:00,2019-01-05 03:30:00,6225.600
2019-01-05 03:30:00,2019-01-05 03:45:00,6206.400
2019-01-05 03:45:00,2019-01-05 04:00:00,6208.000
2019-01-05 04:00:00,2019-01-05 04:15:00,6234.000
2019-01-05 04:15:00,2019-01-05 04:30:00,6249.600
